Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity
AX10001,ENX2071,A152,EMP1009,C1499,44462,1
AX10002,ENX2053,A139,EMP1007,C1359,44234,1
AX10005,ENX2030,A121,EMP1003,C1220,44374,1
AX10007,ENX2001,A122,EMP1003,C1368,44208,4
AX10009,ENX2082,A101,EMP1029,C1764,44405,1
AX10011,ENX2004,A156,EMP1007,C1348,44299,3
AX10017,ENX2088,A163,EMP1032,C1619,44538,1
AX10022,ENX2077,A171,EMP1005,C1723,44442,2
AX10023,ENX2005,A164,EMP1021,C1713,44344,4
AX10024,ENX2059,A104,EMP1036,C1673,44210,3
AX10025,ENX2047,A170,EMP1015,C1753,44444,1
AX10034,ENX2099,A103,EMP1029,C1299,44346,1
AX10038,ENX2098,A143,EMP1039,C1674,44305,1
AX10040,ENX2053,A122,EMP1040,C1301,44251,4
AX10043,ENX2068,A119,EMP1024,C1641,44351,4
AX10044,ENX2001,A120,EMP1038,C1604,44459,2
AX10045,ENX2058,A161,EMP1028,C1419,44267,2
AX10046,ENX2010,A161,EMP1010,C1207,44374,4
AX10050,ENX2004,A172,EMP1003,C1012,44397,1
AX10053,ENX2030,A116,EMP1021,C1364,44537,3
AX10054,ENX2095,A151,EMP1012,C1105,44455,1
AX10055,ENX2098,A172,EMP1015,C1791,44409,3
AX10060,ENX2065,A150,EMP1044,C1723,44421,1
AX10068,ENX2058,A107,EMP1012,C1767,44284,1
AX10079,ENX2043,A172,EMP1024,C1217,44549,1
AX10080,ENX2009,A129,EMP1029,C1550,44530,3
AX10081,ENX2056,A120,EMP1008,C1749,44534,1
AX10083,ENX2092,A112,EMP1002,C1257,44312,3
AX10085,ENX2002,A130,EMP1004,C1043,44332,3
AX10087,ENX2092,A152,EMP1009,C1357,44434,3
AX10090,ENX2050,A146,EMP1001,C1463,44220,3
AX10093,ENX2035,A113,EMP1044,C1758,44349,4
AX10094,ENX2040,A143,EMP1016,C1780,44491,4
AX10095,ENX2027,A105,EMP1039,C1007,44237,1
AX10101,ENX2036,A128,EMP1042,C1030,44483,1
AX10103,ENX2015,A121,EMP1035,C1614,44450,3
AX10104,ENX2047,A168,EMP1023,C1446,44443,3
AX10105,ENX2025,A146,EMP1015,C1607,44294,2
AX10108,ENX2015,A131,EMP1029,C1660,44532,1
AX10113,ENX2010,A167,EMP1007,C1471,44332,3
AX10117,ENX2060,A140,EMP1031,C1436,44326,3
AX10120,ENX2021,A131,EMP1009,C1756,44451,1
AX10125,ENX2000,A137,EMP1016,C1541,44307,2
AX10128,ENX2054,A126,EMP1029,C1347,44242,1
AX10129,ENX2083,A129,EMP1026,C1013,44343,1
AX10131,ENX2019,A119,EMP1013,C1704,44528,1
AX10139,ENX2009,A104,EMP1027,C1221,44219,2
AX10142,ENX2046,A128,EMP1028,C1794,44235,4
AX10143,ENX2049,A127,EMP1035,C1258,44267,1
AX10146,ENX2009,A135,EMP1018,C1633,44385,1
AX10149,ENX2093,A119,EMP1007,C1666,44415,3
AX10154,ENX2075,A140,EMP1033,C1407,44383,1
AX10160,ENX2032,A128,EMP1014,C1293,44545,2
AX10161,ENX2079,A107,EMP1034,C1266,44453,4
AX10164,ENX2048,A134,EMP1010,C1285,44490,1
AX10165,ENX2025,A155,EMP1026,C1071,44360,1
AX10168,ENX2048,A161,EMP1018,C1469,44227,4
AX10174,ENX2033,A105,EMP1007,C1199,44313,4
AX10175,ENX2054,A107,EMP1030,C1415,44344,3
AX10178,ENX2041,A100,EMP1030,C1690,44560,1
AX10179,ENX2097,A139,EMP1025,C1650,44547,4
AX10181,ENX2093,A140,EMP1017,C1658,44496,3
AX10185,ENX2048,A150,EMP1005,C1329,44472,2
AX10189,ENX2002,A111,EMP1030,C1590,44466,1
AX10190,ENX2034,A152,EMP1015,C1206,44515,2
AX10192,ENX2093,A168,EMP1016,C1251,44254,1
AX10193,ENX2054,A139,EMP1004,C1679,44414,2
AX10194,ENX2041,A106,EMP1005,C1417,44511,1
AX10196,ENX2083,A129,EMP1008,C1141,44369,1
AX10202,ENX2041,A107,EMP1032,C1663,44283,1
AX10203,ENX2070,A143,EMP1014,C1112,44512,1
AX10205,ENX2042,A168,EMP1040,C1306,44538,4
AX10206,ENX2054,A107,EMP1011,C1387,44235,1
