Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity
AX10008,ENX2076,A157,EMP1015,C1121,43874,2
AX10013,ENX2087,A160,EMP1020,C1461,43858,1
AX10015,ENX2037,A103,EMP1010,C1510,43904,2
AX10016,ENX2097,A130,EMP1023,C1133,44038,1
AX10018,ENX2005,A158,EMP1037,C1240,43918,1
AX10020,ENX2036,A127,EMP1013,C1155,44122,2
AX10030,ENX2028,A138,EMP1017,C1495,43831,1
AX10039,ENX2024,A134,EMP1023,C1448,44178,1
AX10041,ENX2010,A146,EMP1022,C1562,43894,1
AX10047,ENX2010,A143,EMP1038,C1084,43834,2
AX10051,ENX2029,A167,EMP1003,C1274,44022,3
AX10056,ENX2040,A118,EMP1007,C1160,44069,4
AX10057,ENX2028,A139,EMP1017,C1732,43996,3
AX10058,ENX2016,A107,EMP1027,C1526,44157,3
AX10059,ENX2016,A173,EMP1019,C1767,44056,1
AX10062,ENX2041,A142,EMP1016,C1641,44140,1
AX10067,ENX2018,A107,EMP1027,C1358,43932,3
AX10073,ENX2079,A103,EMP1026,C1402,44075,3
AX10075,ENX2029,A128,EMP1029,C1100,43876,2
AX10076,ENX2092,A122,EMP1031,C1470,43917,1
AX10078,ENX2063,A170,EMP1042,C1222,43844,3
AX10082,ENX2070,A111,EMP1040,C1519,43882,1
AX10084,ENX2084,A147,EMP1005,C1241,44050,3
AX10088,ENX2043,A124,EMP1035,C1579,43954,1
AX10091,ENX2051,A115,EMP1017,C1707,43860,1
AX10097,ENX2024,A167,EMP1007,C1396,44005,4
AX10099,ENX2006,A158,EMP1032,C1538,43887,3
AX10107,ENX2054,A146,EMP1005,C1052,43959,1
AX10110,ENX2066,A107,EMP1013,C1342,44062,4
AX10111,ENX2051,A141,EMP1021,C1233,44029,3
AX10112,ENX2039,A151,EMP1034,C1171,43885,3
AX10115,ENX2046,A161,EMP1008,C1364,43837,1
AX10116,ENX2076,A101,EMP1029,C1415,44036,1
AX10119,ENX2001,A167,EMP1010,C1339,43859,1
AX10124,ENX2012,A150,EMP1019,C1508,44018,1
AX10126,ENX2054,A138,EMP1030,C1337,44101,1
AX10127,ENX2066,A134,EMP1027,C1612,44032,2
AX10135,ENX2015,A118,EMP1041,C1149,44006,1
AX10137,ENX2093,A172,EMP1006,C1704,43908,1
AX10144,ENX2020,A136,EMP1042,C1770,44152,3
AX10152,ENX2027,A146,EMP1043,C1314,43952,4
AX10156,ENX2068,A169,EMP1006,C1529,44061,3
AX10157,ENX2025,A148,EMP1043,C1243,44017,2
AX10159,ENX2003,A137,EMP1036,C1086,43940,1
AX10167,ENX2004,A144,EMP1043,C1286,44131,1
AX10172,ENX2076,A101,EMP1005,C1507,43896,1
AX10176,ENX2008,A124,EMP1032,C1369,44085,3
AX10177,ENX2064,A109,EMP1027,C1057,43935,1
AX10182,ENX2062,A161,EMP1026,C1657,43890,3
AX10183,ENX2035,A106,EMP1014,C1444,44153,2
AX10184,ENX2015,A114,EMP1025,C1480,44134,1
AX10186,ENX2022,A133,EMP1025,C1064,44001,2
AX10187,ENX2100,A126,EMP1002,C1757,43982,3
AX10195,ENX2085,A156,EMP1025,C1694,44171,4
AX10197,ENX2067,A134,EMP1002,C1717,44080,1
AX10198,ENX2072,A136,EMP1006,C1584,43950,1
AX10200,ENX2034,A124,EMP1012,C1098,44010,1
AX10204,ENX2018,A112,EMP1030,C1214,44175,1
AX10211,ENX2023,A155,EMP1005,C1277,43885,1
AX10214,ENX2068,A149,EMP1044,C1274,43856,1
AX10217,ENX2030,A102,EMP1021,C1174,43916,1
AX10220,ENX2053,A158,EMP1033,C1150,44078,1
AX10225,ENX2048,A118,EMP1043,C1776,43941,2
AX10227,ENX2069,A103,EMP1024,C1768,43877,2
AX10228,ENX2075,A135,EMP1001,C1314,44031,2
AX10234,ENX2096,A168,EMP1022,C1490,44147,1
AX10237,ENX2080,A140,EMP1017,C1578,44176,1
AX10239,ENX2046,A146,EMP1030,C1028,43965,1
AX10240,ENX2012,A130,EMP1010,C1670,44187,1
AX10244,ENX2072,A168,EMP1002,C1702,44189,1
AX10250,ENX2075,A135,EMP1003,C1274,44030,2
AX10251,ENX2040,A116,EMP1012,C1631,44175,3
AX10252,ENX2091,A173,EMP1031,C1602,44121,4
AX10253,ENX2075,A109,EMP1005,C1514,43895,3
AX10255,ENX2064,A102,EMP1036,C1184,43887,2
AX10257,ENX2001,A140,EMP1036,C1082,43841,1
AX10258,ENX2043,A168,EMP1009,C1273,44085,4
AX10260,ENX2027,A130,EMP1033,C1028,43870,3
AX10263,ENX2070,A162,EMP1042,C1758,44161,1
AX10265,ENX2074,A149,EMP1003,C1096,44078,2
AX10267,ENX2036,A173,EMP1000,C1773,43929,2
AX10269,ENX2095,A136,EMP1012,C1506,44114,4
AX10270,ENX2012,A130,EMP1002,C1003,44121,1
AX10273,ENX2010,A113,EMP1030,C1666,44176,1
AX10277,ENX2096,A140,EMP1035,C1061,44025,1
AX10285,ENX2050,A145,EMP1030,C1743,44130,1
AX10287,ENX2052,A136,EMP1020,C1392,44149,1
AX10288,ENX2097,A150,EMP1044,C1459,43849,1
AX10289,ENX2056,A165,EMP1044,C1523,43833,1
AX10293,ENX2069,A122,EMP1038,C1254,44039,1
AX10296,ENX2070,A139,EMP1041,C1152,44045,3
AX10298,ENX2015,A116,EMP1020,C1250,44135,1
AX10300,ENX2032,A126,EMP1043,C1376,44153,1
AX10309,ENX2068,A157,EMP1008,C1755,44141,1
AX10310,ENX2091,A111,EMP1011,C1198,43905,2
AX10311,ENX2088,A159,EMP1010,C1727,43978,3
AX10312,ENX2042,A114,EMP1010,C1515,43945,3
AX10315,ENX2080,A104,EMP1018,C1425,44154,2
AX10327,ENX2050,A112,EMP1039,C1773,43960,4
AX10329,ENX2090,A152,EMP1043,C1388,43863,2
AX10330,ENX2037,A139,EMP1008,C1635,44147,3
AX10332,ENX2077,A116,EMP1032,C1325,43973,3
AX10342,ENX2094,A106,EMP1013,C1213,43903,1
AX10344,ENX2033,A146,EMP1005,C1492,43841,1
AX10354,ENX2070,A159,EMP1022,C1392,43964,3
AX10357,ENX2074,A154,EMP1043,C1798,44022,4
AX10361,ENX2034,A132,EMP1024,C1020,44008,1
AX10366,ENX2059,A107,EMP1006,C1107,43913,3
AX10368,ENX2024,A105,EMP1037,C1784,44098,1
AX10371,ENX2099,A170,EMP1037,C1672,44192,1
AX10374,ENX2091,A171,EMP1043,C1090,43857,3
AX10375,ENX2058,A116,EMP1023,C1503,44060,1
AX10376,ENX2024,A128,EMP1002,C1426,43893,4
AX10379,ENX2044,A137,EMP1032,C1338,44194,1
AX10382,ENX2038,A171,EMP1005,C1450,43915,3
AX10386,ENX2058,A167,EMP1024,C1141,43908,3
AX10388,ENX2007,A148,EMP1015,C1402,43884,1
AX10389,ENX2090,A132,EMP1036,C1620,44148,2
AX10391,ENX2065,A104,EMP1004,C1595,43941,1
AX10392,ENX2090,A155,EMP1038,C1084,44195,1
AX10393,ENX2023,A151,EMP1020,C1543,44183,1
AX10394,ENX2095,A136,EMP1001,C1736,44104,1
AX10397,ENX2049,A124,EMP1036,C1082,44110,2
AX10398,ENX2077,A158,EMP1009,C1103,43900,4
AX10402,ENX2032,A159,EMP1044,C1237,44120,3
AX10404,ENX2015,A171,EMP1044,C1015,44134,1
AX10406,ENX2010,A149,EMP1023,C1054,44076,3
AX10412,ENX2047,A130,EMP1002,C1666,43852,1
AX10415,ENX2029,A159,EMP1006,C1625,43846,1
AX10418,ENX2083,A129,EMP1040,C1787,43993,3
AX10422,ENX2015,A137,EMP1006,C1514,43866,1
AX10424,ENX2019,A107,EMP1021,C1151,44064,2
AX10437,ENX2056,A127,EMP1038,C1654,43834,3
AX10446,ENX2042,A145,EMP1035,C1610,44136,4
AX10448,ENX2005,A128,EMP1028,C1208,43832,2
AX10450,ENX2020,A163,EMP1013,C1553,43979,1
AX10451,ENX2097,A143,EMP1021,C1299,44144,1
AX10453,ENX2100,A138,EMP1028,C1589,44149,1
AX10458,ENX2026,A119,EMP1013,C1648,43834,4
AX10459,ENX2017,A119,EMP1025,C1571,44052,2
AX10471,ENX2081,A152,EMP1000,C1024,43999,2
AX10483,ENX2022,A123,EMP1034,C1562,43904,4
AX10489,ENX2067,A117,EMP1002,C1306,43858,1
